"","...1","EBI20_S_14.07.2019","EBI20_S_30.07.2019","EBI20_S_13.08.2019","EBI20_S_13.09.2019","EBI20_S_11.10.2019","EBI20_S_28.10.2019","EBI20_S_14.11.2019","EBI20_S_09.12.2019","EBI20_S_14.01.2020","EBI20_S_07.02.2020","EBI20_S_04.03.2020","EBI20_S_14.04.2020","EBI20_S_29.04.2020","EBI20_S_13.05.2020","EBI20_S_26.05.2020","EBI20_S_23.06.2020","EBI20_S_09.07.2020","EBI20_S_23.07.2020","EBI20_S_05.08.2020","EBI20_S_19.08.2020"
"1","EA10_S_Wi19_S29_maxbin.005",0.00718878532507813,0.00924175957056616,0.0047343507618548,0.00769222279567956,0.00561507150881116,0.00776626810150681,0.00445589140311799,0.00403770673647354,0.00405653663779207,0.00355346185187013,0.00310800511309929,0.00379695232980746,0.00437409023803967,0.00628532616149084,0.0065520299898718,0.003756357000091,0.00562230686437057,0.00546860448550191,0.00461175776002674,0.0055988332282953
"2","EA10_S_Wi19_S29_maxbin.022",0.00199476277023061,0.00104478093447674,0.00072527316608244,0.00156695782197605,0.00047950874205394,0.00107267254619764,0,0.00068102922461083,0,0,0,0.00053321876322018,0,0.00070517892289659,0.00113334824842336,0.00078144098644579,0.00090133806674417,0.00185177761390131,0.00074197088361386,0.00160688505616886
"3","EA10_S_Wi19_S29_maxbin.108",0.0017849321758527,0.00092094775302887,0.00061525325516211,0.0013718499217092,0.00040430061670979,0,0,0,0,0,0,0.00044837994763467,0,0.00060221343535239,0.00097110491366587,0.00068039591468649,0.00079382281271745,0.00169689640191629,0.00062691844590387,0.00144763926100695
"4","EA10_S_Wi19_S29_metabat2.216",0.00165933804149455,0.00101751057268054,0.00062694170777368,0.00129270200514372,0.00041825573134364,0,0,0,0,0,0,0.00045991101638106,0,0.00064869790915581,0.00104164911350145,0.00067496907739818,0.00082774744193007,0.00167845680807997,0.00063845983470238,0.001450183547791
"5","EA10_S_Wi20_S106_concoct.39",0.0012961867638148,0.00175533898142948,0.00112357902682624,0.00147210605998375,0.00087395378814142,0.00140675395727692,0.00099263779083863,0.00089788103889276,0,0.00072764190637413,0.0007932253525421,0.00069139933427084,0.00074592047807885,0.00088760139772775,0.00128328659681223,0.00091852120302219,0.00099335084281606,0.00162964430742989,0.00089876461073838,0.00154874727213091
"6","EA10_S_Wi20_S106_concoct.41",0.00315314824690288,0.00390948451719231,0.00251648782351478,0.00484048476679916,0.00256485751262732,0.00590101906403827,0.00239893967149671,0.00233853642000907,0.00212940354978668,0.00168509150193041,0.00152382210425059,0.00159634846379418,0.00190240087558859,0.00245314003424041,0.0027354774416129,0.00185032245316601,0.00270063093679012,0.0034036370933658,0.00176427191219007,0.00337787657219196
"7","EB05_S_Wi20_S107_concoct.69",0.00206717700921527,0.00249127576553724,0.00175395089183667,0.00240282381090389,0.0014424382251824,0.00263425794661437,0.00158705055023634,0.00144882047792472,0.00141198818181749,0.00120847263457059,0.0012491802022059,0.00122975656319688,0.00119396359619313,0.00147083069826188,0.00211316244930594,0.0014080653164263,0.0016423118841337,0.00303759816535069,0.00143728692186943,0.00260493533737595
"8","EB07_S_Wi20_S108_concoct.26",0.00429289667384922,0.00272510918415033,0.00088964952167228,0.00397394589590348,0.00080840172561664,0.00278736196770186,0.00135279224793089,0.00124965336023945,0.0009283225299258,0.00060683331140774,0.00065969235492534,0.00096556568992484,0.00146812265244334,0.00199496555525185,0.00292077379025857,0.00112571730683035,0.00216655115445416,0.00327755745837626,0.00118784272550059,0.00288587325778459
"9","EB07_S_Wi20_S108_concoct.28",0.00169712413390604,0.00208796802228973,0.00200279312162109,0.00191472746697628,0.00164621372142038,0.00206980159019593,0.00170957171652804,0.00161874148648285,0.00158974200758521,0.00147229778534643,0.00153758561664544,0.00136473331499593,0.0014376936730894,0.00157659128068839,0.00190628202879119,0.0016782724385574,0.00174048073573471,0.00218141830987122,0.00167112056108174,0.00223563897635138
"10","EB07_S_Wi20_S108_concoct.82",0.00156041848421089,0.00088771368088264,0.00068821591091969,0.00117694903568936,0.0004708909875125,0,0,0,0,0,0,0.00049778624267685,0,0.00061477024627113,0.0008770822852641,0.00067330935649977,0.00073857568689017,0.00160519931812604,0.00064561724264167,0.00140808703844712
"11","EB10_S_Wi19_S32_maxbin.001",0.00890962889465463,0.00158160385569964,0.00128840277116498,0.00274500234121453,0.00064993762874949,0,0,0,0,0,0,0.00118469833264594,0,0.00162879166855734,0.00199738139397147,0.00133417965288134,0.00243824721018573,0.0111909658236628,0.00174903755838116,0.00785635965379437
"12","EB10_S_Wi19_S32_maxbin.017",0.00247138251982282,0.00158764937819952,0.0006869122427647,0.00162234674489908,0.00047336320628521,0.00129590433583766,0.00073043532156179,0.00077804499099963,0,0.00047932295099316,0,0.00082438986078737,0.00119375710328813,0.00132601819054074,0.00186125477887734,0.00101393217721874,0.00173209028728827,0.00206448075372458,0.00074487534206398,0.00162379376250412
"13","EB10_S_Wi19_S32_maxbin.032",0.00169463094808233,0.00107562280719571,0.00077256831805163,0.00138774040174212,0.00055481684460538,0,0.00074982276081289,0.00071073284428668,0,0.00047963634865909,0,0.00056501205697184,0.00071497794025142,0.00075541159641339,0.00104994857995612,0.00077619965505915,0.00091467572121353,0.00163042036763354,0.00081075100205851,0.00149364856645434
