"","...1","EOI15_S_2019.08.21","EOI15_S_2019.09.13","EOI15_S_2019.10.23","EOI15_S_2019.11.08","EOI15_S_2019.11.28","EOI15_S_2020.01.20","EOI15_S_2020.02.07","EOI15_S_2020.03.26","EOI15_S_2020.04.23","EOI15_S_2020.05.15","EOI15_S_2020.06.09","EOI15_S_2020.07.02","EOI15_S_2020.07.15","EOI15_S_2020.07.28","EOI15_S_2020.08.14","EOI15_S_2020.09.01","EOI15_S_2020.09.23","EOI15_S_2020.10.09","EOI15_S_2020.10.22","EOI15_S_2020.11.05","EOI15_S_2020.12.02"
"1","EA10_S_Wi19_S29_maxbin.005",0.00177749841472971,0.00168714553449252,0.00198947888853825,0.00196927732387824,0.00195700480387238,0.00136870158784008,0.00227633069493431,0.00172354720894774,0.00120717717589249,0.00218798100404104,0.00138080172601739,0.00227790857529566,0.00130012141149031,0.00214090789959775,0.00225462914328207,0.00174487029858205,0.00140163076450456,0.00176203432880744,0.0015763809490958,0.00161784617862175,0.00211799608552284
"2","EA10_S_Wi19_S29_maxbin.022",0.00104733084181886,0.00101500864609166,0.00275318618087408,0.00154901981162133,0.00103537119898252,0.0003958970592216,0.00222870624455837,0.00127645797929223,0.00128942797008064,0.00149723882506842,0.00188781596700096,0.00219060248123057,0.00053762292501477,0.00192515430512296,0.00129621923125173,0.00087514118233567,0.00080960650022254,0.00123940846977065,0.00089720464459095,0.00067216654494827,0
"3","EA10_S_Wi19_S29_maxbin.108",0.0009398874459226,0.0009409334543292,0.00247814376108148,0.00144655088710229,0.0009432354728454,0.00035682095358651,0.00200954596226495,0.00125137384734297,0.0012507178548522,0.00131131971643835,0.00173949442326944,0.00200232604633293,0.00050744326398716,0.00173251251433017,0.00117502270333621,0.00079789149426983,0.00075506446764487,0.00114817411476906,0.00082826012812597,0.0006158902626012,0
"4","EA10_S_Wi19_S29_metabat2.216",0.00095619770121669,0.00092946449324058,0.00236603606116897,0.00134444254771303,0.00092061913328828,0.00039082870704552,0.0019291744866238,0.00117594591633274,0.00115558077523487,0.00135194860581258,0.00166977611437493,0.00193202667122387,0.00052083617378735,0.00171620496368682,0.00120909004098317,0.00082700977099848,0.00076365415515785,0.00114620896104497,0.00083445165304927,0.00064665237249909,0
"5","EA10_S_Wi20_S106_concoct.39",0.00118292531142619,0.00110776281924173,0.00159726127259197,0.00114578616721823,0.00111290535873487,0.00078889997874024,0.00146156540004065,0.00101331223705472,0.00097520972206074,0.00138286976243878,0.00117856915884714,0.00151704422355388,0.00077994099541104,0.00143337068985047,0.00127013393505555,0.00101507405257949,0.000929715816836,0.00118207843925298,0.00104377968286081,0.00090332863278071,0.00079978397379162
"6","EA10_S_Wi20_S106_concoct.41",0.00273743106098803,0.00372979857441538,0.00389990537029153,0.00406267957218121,0.00289698882111424,0.00195926236955974,0.00481026540777311,0.00501706291236011,0.00293186264769621,0.00379169523124268,0.00340096970092394,0.00499118127347536,0.00257576156082269,0.00551904617837884,0.00450126954994938,0.00343130884080551,0.00245263036591176,0.00396109590673928,0.00265391886871785,0.00291234995423775,0.00283872266773471
"7","EB05_S_Wi20_S107_concoct.69",0.00182760629871115,0.0018317873485579,0.00194964916400889,0.00177652838596307,0.00166638005909331,0.00139299432798276,0.00227871721766267,0.0020492765056633,0.00160998085261328,0.00240310727776547,0.00186273900514479,0.00231139321566393,0.00161967981171668,0.00223575834843398,0.00239193202633376,0.00203792084250812,0.00174238217749009,0.00219123455980862,0.00186293789043725,0.0019383131690701,0.0019977930689197
"8","EB07_S_Wi20_S108_concoct.26",0.00089109744780972,0.00086882731135479,0.00212886696131751,0.00126005735606046,0.00086695537564415,0.00037463480921752,0.00179605307000916,0.0011030195370229,0.00105745605763096,0.00121419851263855,0.00149821289390348,0.00178144730613252,0.00049979421560419,0.00159876542499973,0.00112566026357276,0.00077573939342564,0.00071427268360951,0.00107397783765291,0.0007915872992159,0.00061537771889976,0
"9","EB07_S_Wi20_S108_concoct.28",0.00162877940940763,0.00149546907477812,0.00173140033042276,0.00145346122267192,0.00157922335510155,0.00129291845579436,0.00172402810877396,0.00135322438682511,0.00122609005689722,0.0019624541982503,0.00137971468789648,0.00178780956515627,0.00122543371452855,0.00177938948335777,0.00171784842161292,0.00143064257413154,0.00128823211092528,0.00155839495605471,0.00145496090870011,0.00134589275829404,0.00137268175621565
"10","EB07_S_Wi20_S108_concoct.82",0.00080463131499607,0.0007874995387448,0.00155097863523494,0.00098496327412091,0.0007901170813171,0.00042413050350135,0.00133775485028726,0.00086008302054036,0.00085300097590575,0.00104792877299864,0.00112424792263266,0.00134698473164037,0.00050122687474436,0.00123188257691032,0.00094644555356734,0.00069815262292076,0.00063929167797475,0.00090228654228877,0.00071556922229504,0.00057938644530827,0
