"EOI15_S_2019.08.21" "EOI15_S_2019.09.13" "EOI15_S_2019.10.23" "EOI15_S_2019.11.08" "EOI15_S_2019.11.28" "EOI15_S_2020.01.20" "EOI15_S_2020.02.07" "EOI15_S_2020.03.26" "EOI15_S_2020.04.23" "EOI15_S_2020.05.15" "EOI15_S_2020.06.09" "EOI15_S_2020.07.02" "EOI15_S_2020.07.15" "EOI15_S_2020.07.28" "EOI15_S_2020.08.14" "EOI15_S_2020.09.01" "EOI15_S_2020.09.23" "EOI15_S_2020.10.09" "EOI15_S_2020.10.22" "EOI15_S_2020.11.05" "EOI15_S_2020.12.02"
"K00001" 1.59823654041311 1.67755555521304 1.6012372273347 1.60102839762674 1.54704819212661 1.58347636225625 1.63132523043902 1.69346545511719 1.70236882524918 1.60114387353268 1.68146556713129 1.64363451604053 1.63769421049108 1.68875664109537 1.65217832496479 1.66502832255561 1.63959962614594 1.64868295560661 1.62440465938204 1.58238572725884 1.50993823484747
"K00002" 0.0610985493125948 0.0615127916790138 0.0642278956106283 0.0624189391432957 0.0580137232677091 0.056779484090153 0.0603992085145402 0.057696592774711 0.0582320219969462 0.0564170487340145 0.0564655070708876 0.0621963265675276 0.0551457581799646 0.0610618702185651 0.0617570924309609 0.0597575143986866 0.0629375597945428 0.0578319158699193 0.0587676290383825 0.0562642319282474 0.0558235074187673
"K00003" 0.757771100817632 0.754567373254787 0.696475486599861 0.742790748435726 0.762611341371527 0.795211089140942 0.729341100672347 0.760811955285022 0.782137811684245 0.75591447314599 0.73844097771181 0.728653830973615 0.778016217024075 0.735380709598779 0.711915740514531 0.755559000651744 0.751375039844098 0.746034981610087 0.760537809688837 0.756597083017488 0.776406457511796
"K00004" 0.230818438300231 0.232081515667747 0.208595029178233 0.207667092503001 0.206595539706653 0.255242892266601 0.218132785928786 0.211384195060032 0.22779434760854 0.199574052171033 0.222808061581414 0.223547793266923 0.250967844577535 0.229581219018933 0.230065660306395 0.244149807569237 0.254890195320519 0.233818036890759 0.245819208826276 0.247053383066733 0.250622016597678
"K00005" 0.0616072997075146 0.0636534712395179 0.0639206360051328 0.0591293353433329 0.0533549252671549 0.0568932233211254 0.0650479128373737 0.0618737770125028 0.0673392268676161 0.060278811707366 0.0735463409572255 0.0657596513930647 0.0610134878442957 0.0667998147749286 0.0664827669265669 0.0648359559394301 0.0632048233806536 0.0669988468730025 0.0636303369294588 0.0640538856557929 0.0533078576124768
"K00008" 1.14655656753564 1.14480579397756 0.947002349828119 0.941610541883308 0.936880944857909 1.3758096448215 1.0287436415719 1.05223937822965 1.10209654064266 0.978740836677917 1.10777264632422 1.05149552373062 1.29174138317998 1.11614244752449 1.11176104225877 1.20563802147946 1.23976044220387 1.19620772748781 1.25018517210157 1.27300222877056 1.34999293199919
"K00009" 0.092888245154005 0.0905222954256424 0.0944777105950088 0.0830461304361033 0.0808908673101167 0.108062269230475 0.0887295697904764 0.0843915070748185 0.096889145856509 0.0752480580398155 0.095338409081318 0.0875178299682479 0.1042662254662 0.0883381774364329 0.0873550609149448 0.0917033307361954 0.104553317163907 0.0960217113290375 0.108149021631938 0.104964225370738 0.103291405638466
"K00010" 3.07204189992834 2.99710324318494 2.76587487877447 2.54946722701601 2.4561142576473 3.40827070806783 2.85877517360301 2.8316721051694 3.13151695745314 2.83994346004063 3.17081125920769 2.86002146922054 3.23909609748941 3.0355842769806 3.12973873694178 3.22250504137216 3.36514838663483 3.22049279823588 3.40844999629127 3.19212288206284 3.18008968162639
"K00011" 0.0374476721236558 0.0342626542282542 0.0317282153074896 0.0362109452685807 0.0403976453369785 0.0316885385112389 0.0301839701181753 0.0326633047138229 0.029322755161045 0.0359866020005404 0.0308408007071349 0.0300099684023339 0.0321030394097405 0.0305354137483756 0.0311525591843098 0.0316227483238117 0.0290539328859301 0.0288667101037895 0.030224840275237 0.0335202875513115 0.0325055266647321
"K00012" 0.799493647533146 0.811636813645612 0.810226466697291 0.813541685243574 0.779866652502269 0.790125817056847 0.829287200300035 0.842331919984382 0.854120416442376 0.788738573509916 0.851569131526627 0.818118481259214 0.803358032204586 0.818059686632029 0.804422989898404 0.801273672198186 0.804713232200752 0.835320748463401 0.812811150672329 0.799635923914778 0.776702127639119
