KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K12866;09120;Genetic Information Processing;09121;Transcription;03040;Spliceosome;K12866;WW domain-binding protein 11;WBP11, NPWBP;
K12866;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K12866;WW domain-binding protein 11;WBP11, NPWBP;
K12866;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K12866;WW domain-binding protein 11;WBP11, NPWBP;
K12875;09120;Genetic Information Processing;09121;Transcription;03040;Spliceosome;K12875;apoptotic chromatin condensation inducer in the nucleus;ACIN1, ACINUS;
K12875;09120;Genetic Information Processing;09122;Translation;03013;Nucleocytoplasmic transport;K12875;apoptotic chromatin condensation inducer in the nucleus;ACIN1, ACINUS;
K12875;09120;Genetic Information Processing;09122;Translation;03015;mRNA surveillance pathway;K12875;apoptotic chromatin condensation inducer in the nucleus;ACIN1, ACINUS;
K12875;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K12875;apoptotic chromatin condensation inducer in the nucleus;ACIN1, ACINUS;
K12875;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K12875;apoptotic chromatin condensation inducer in the nucleus;ACIN1, ACINUS;
K12877;09120;Genetic Information Processing;09121;Transcription;03040;Spliceosome;K12877;protein mago nashi;MAGOH;
K12877;09120;Genetic Information Processing;09122;Translation;03013;Nucleocytoplasmic transport;K12877;protein mago nashi;MAGOH;
K12877;09120;Genetic Information Processing;09122;Translation;03015;mRNA surveillance pathway;K12877;protein mago nashi;MAGOH;
K12877;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K12877;protein mago nashi;MAGOH;
K12877;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K12877;protein mago nashi;MAGOH;
K12884;09120;Genetic Information Processing;09121;Transcription;03040;Spliceosome;K12884;heterogeneous nuclear ribonucleoprotein C1/C2;HNRNPC;
K12884;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K12884;heterogeneous nuclear ribonucleoprotein C1/C2;HNRNPC;
K12886;09120;Genetic Information Processing;09121;Transcription;03040;Spliceosome;K12886;heterogeneous nuclear ribonucleoprotein K;HNRNPK;
K12886;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K12886;heterogeneous nuclear ribonucleoprotein K;HNRNPK;
K12948;09120;Genetic Information Processing;09123;Folding, sorting and degradation;03060;Protein export;K12948;signal peptidase complex subunit 3;SPCS3, SPC3;EC:3.4.-.-
K13000;09180;Brite Hierarchies;09181;Protein families: metabolism;01005;Lipopolysaccharide biosynthesis proteins;K13000;mannosyltransferase;wbyJ;EC:2.4.1.-
K13084;09130;Environmental Information Processing;09132;Signal transduction;04070;Phosphatidylinositol signaling system;K13084;phosphatidylinositol-4,5-bisphosphate 4-phosphatase;TMEM55;EC:3.1.3.78
K13092;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13092;nuclear protein NHN1;ZC3H18;
K13096;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13096;splicing factor 4;SF4, SUGP1;
K13097;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03000;Transcription factors;K13097;methylcytosine dioxygenase;TET1;EC:1.14.11.-
K13097;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13097;methylcytosine dioxygenase;TET1;EC:1.14.11.-
K13099;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K13099;CD2 antigen cytoplasmic tail-binding protein 2;CD2BP2, PPP1R59;
K13099;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13099;CD2 antigen cytoplasmic tail-binding protein 2;CD2BP2, PPP1R59;
K13104;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13104;zinc finger protein 830;ZNF830, CCDC16;
K13105;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13105;proline-rich protein PRCC;PRCC;
K13115;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13115;coiled-coil domain-containing protein 130;CCDC130;
K13118;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13118;protein DGCR14;DGCR14;
K13121;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13121;protein FRA10AC1;FRA10AC1;
K13122;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13122;protein FRG1;FRG1;
K13123;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13123;G patch domain-containing protein 1;GPATCH1;
K13130;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13130;gem associated protein 2;GEMIN2, SIP1;
K13139;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13139;integrator complex subunit 2;INTS2;
K13140;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13140;integrator complex subunit 3;INTS3;
K13141;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13141;integrator complex subunit 4;INTS4;
K13142;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13142;integrator complex subunit 5;INTS5;
K13145;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13145;integrator complex subunit 8;INTS8;
K13146;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13146;integrator complex subunit 9;INTS9;
K13149;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13149;integrator complex subunit 12;INTS12;
K13151;09120;Genetic Information Processing;09122;Translation;03013;Nucleocytoplasmic transport;K13151;snurportin-1;SNUPN, RNUT1;
K13151;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13151;snurportin-1;SNUPN, RNUT1;
K13159;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13159;heterogeneous nuclear ribonucleoprotein L;HNRNPL;
K13163;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13163;male-specific lethal 1;MSL1;
K13163;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03036;Chromosome and associated proteins;K13163;male-specific lethal 1;MSL1;
K13169;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13169;A-kinase anchor protein 17;AKAP17, SFRS17;
K13170;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13170;arginine/serine-rich protein PNISR;PNISR, SFRS18;
K13174;09120;Genetic Information Processing;09122;Translation;03013;Nucleocytoplasmic transport;K13174;THO complex subunit 5;THOC5;
K13174;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K13174;THO complex subunit 5;THOC5;
K13174;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13174;THO complex subunit 5;THOC5;
K13176;09120;Genetic Information Processing;09122;Translation;03013;Nucleocytoplasmic transport;K13176;THO complex subunit 7;THOC7;
K13176;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K13176;THO complex subunit 7;THOC7;
K13176;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13176;THO complex subunit 7;THOC7;
K13178;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13178;ATP-dependent RNA helicase DDX17;DDX17;EC:3.6.4.13
K13184;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13184;ATP-dependent RNA helicase A;DHX9;EC:3.6.4.13
K13189;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13189;RNA-binding protein 14;RBM14;
K13190;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K13190;RNA-binding protein 15;RBM15;
K13190;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13190;RNA-binding protein 15;RBM15;
K13191;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03021;Transcription machinery;K13191;RNA-binding protein 16;RBM16, SCAF8;
K13191;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13191;RNA-binding protein 16;RBM16, SCAF8;
K13192;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K13192;RNA-binding protein 26;RBM26;
K13192;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K13192;RNA-binding protein 26;RBM26;
K13192;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13192;RNA-binding protein 26;RBM26;
K13194;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13194;double stranded RNA-specific editase B;ADARB;EC:3.5.-.-
K13202;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13202;target of EGR1 protein 1;TOE1;
K13203;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13203;zinc finger RNA-binding protein;ZFR;
K13206;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13206;coiled-coil domain-containing protein 55;CCDC55;
