KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K12192;09140;Cellular Processes;09143;Cell growth and death;04217;Necroptosis;K12192;charged multivesicular body protein 2B;CHMP2B;
K12192;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K12192;charged multivesicular body protein 2B;CHMP2B;
K12192;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K12192;charged multivesicular body protein 2B;CHMP2B;
K12193;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K12193;charged multivesicular body protein 3;VPS24, CHMP3;
K12193;09140;Cellular Processes;09143;Cell growth and death;04217;Necroptosis;K12193;charged multivesicular body protein 3;VPS24, CHMP3;
K12193;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K12193;charged multivesicular body protein 3;VPS24, CHMP3;
K12193;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K12193;charged multivesicular body protein 3;VPS24, CHMP3;
K12198;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K12198;charged multivesicular body protein 5;CHMP5, VPS60;
K12198;09140;Cellular Processes;09143;Cell growth and death;04217;Necroptosis;K12198;charged multivesicular body protein 5;CHMP5, VPS60;
K12198;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K12198;charged multivesicular body protein 5;CHMP5, VPS60;
K12226;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02044;Secretion system;K12226;proline/betaine transport protein TphA;tphA;
K12230;09130;Environmental Information Processing;09132;Signal transduction;04151;PI3K-Akt signaling pathway;K12230;phosphoinositide 3-kinase adapter protein 1;PIK3AP1, BCAP;
K12292;09130;Environmental Information Processing;09131;Membrane transport;02010;ABC transporters;K12292;ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein;comA;EC:3.4.22.-
K12292;09130;Environmental Information Processing;09132;Signal transduction;02020;Two-component system;K12292;ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein;comA;EC:3.4.22.-
K12292;09140;Cellular Processes;09145;Cellular community - prokaryotes;02024;Quorum sensing;K12292;ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein;comA;EC:3.4.22.-
